no.	s/r/d	tm		type	seq	nbb	ack
150	rcv	1.828894	D	375	50	74
151	snd	1.829036	A	74	0	576
152	rcv	1.829109	D	525	50	74
153	snd	1.829228	A	74	0	576
154	rcv	1.829303	D	575	50	74
155	snd	1.829471	A	74	0	576
156	rcv	1.829566	D	125	50	74
157	snd	1.829705	A	74	0	576
158	rcv	1.829780	D	175	50	74
159	snd	1.829952	A	74	0	576
160	rcv	1.830026	D	225	50	74
161	snd	1.830160	A	74	0	576
162	rcv	1.830235	D	275	50	74
163	snd	1.830351	A	74	0	576
164	rcv	1.830401	D	325	50	74
165	snd	1.830534	A	74	0	576
166	rcv	1.830608	D	375	50	74
167	snd	1.830743	A	74	0	576
168	rcv	1.830816	D	425	50	74
169	snd	1.830957	A	74	0	576
170	rcv	1.831031	D	475	50	74
171	snd	1.831150	A	74	0	576
172	rcv	1.831215	D	525	50	74
173	snd	1.831375	A	74	0	576
174	rcv	1.831467	D	575	50	74
175	snd	1.831581	A	74	0	576
176	rcv	1.831654	D	125	50	74
177	snd	1.831819	A	74	0	576
178	rcv	1.831892	D	125	50	74
179	snd	1.832054	A	74	0	576
180	rcv	1.832103	D	175	50	74
181	snd	1.832229	A	74	0	576
182	rcv	1.832300	D	225	50	74
183	snd	1.832482	A	74	0	576
184	rcv	1.832554	D	275	50	74
185	snd	1.832675	A	74	0	576
186	rcv	1.832737	D	325	50	74
187	snd	1.832871	A	74	0	576
188	rcv	1.832966	D	375	50	74
189	snd	1.833097	A	74	0	576
190	rcv	1.833168	D	425	50	74
191	snd	1.833265	A	74	0	576
192	rcv	1.833338	D	475	50	74
193	snd	1.833510	A	74	0	576
194	rcv	1.833582	D	575	50	74
195	snd	1.833726	A	74	0	576
196	rcv	1.833775	D	125	50	74
197	snd	1.833891	A	74	0	576
198	rcv	1.833963	D	125	50	74
199	snd	1.834094	A	74	0	576
200	rcv	1.834180	D	175	50	74
201	snd	1.834320	A	74	0	576
202	rcv	1.834392	D	225	50	74
203	snd	1.834505	A	74	0	576
204	rcv	1.834577	D	275	50	74
205	snd	1.834733	A	74	0	576
206	rcv	1.834805	D	325	50	74
207	snd	1.834926	A	74	0	576
208	rcv	1.835020	D	375	50	74
209	snd	1.835154	A	74	0	576
210	rcv	1.835226	D	425	50	74
211	snd	1.835390	A	74	0	576
212	rcv	1.835462	D	475	50	74
213	snd	1.835575	A	74	0	576
214	rcv	1.835670	D	525	50	74
215	snd	1.835815	A	74	0	576
216	rcv	1.835887	D	575	50	74
217	snd	1.836033	A	74	0	576
218	rcv	1.836081	D	525	50	74
219	snd	1.836223	A	74	0	576
220	rcv	1.836296	D	575	50	74
221	snd	1.836451	A	74	0	576
222	rcv	1.836527	D	625	50	74
223	snd	1.836672	A	74	0	626
224	rcv	1.836750	D	675	50	74
