no.	s/r/d	tm		type	seq	nbb	ack
154	snd	0.016961	D	975	50	74
155	rcv	0.017012	A	74	0	476
156	snd	0.017067	D	525	50	74
157	snd	0.017140	D	525	50	74
158	snd	0.017237	D	575	50	74
159	snd	0.017357	D	625	50	74
160	snd	0.017443	D	675	50	74
161	snd	0.017538	D	725	50	74
162	snd	0.017622	D	775	50	74
163	snd	0.017705	D	825	50	74
164	snd	0.017797	D	875	50	74
165	snd	0.017890	D	925	50	74
166	snd	0.017973	D	975	50	74
167	rcv	0.018079	A	74	0	476
168	snd	0.018187	D	525	50	74
169	drp	0.018258	D	525	50	74
170	snd	0.018340	D	575	50	74
171	snd	0.018425	D	625	50	74
172	drp	0.018466	D	675	50	74
173	snd	0.018549	D	725	50	74
174	snd	0.018629	D	775	50	74
175	snd	0.018706	D	825	50	74
176	snd	0.018805	D	875	50	74
177	drp	0.018845	D	925	50	74
178	snd	0.018963	D	975	50	74
179	rcv	0.019076	A	74	0	476
180	snd	0.019174	D	525	50	74
181	snd	0.019281	D	525	50	74
182	snd	0.019397	D	575	50	74
183	snd	0.019558	D	625	50	74
184	snd	0.019701	D	675	50	74
185	snd	0.019838	D	725	50	74
186	snd	0.020034	D	775	50	74
187	snd	0.020119	D	825	50	74
188	drp	0.020160	D	875	50	74
189	drp	0.020210	D	925	50	74
190	snd	0.020284	D	975	50	74
191	rcv	0.020378	A	74	0	476
192	snd	0.020479	D	525	50	74
193	snd	0.020607	D	525	50	74
194	snd	0.020705	D	575	50	74
195	snd	0.020831	D	625	50	74
196	snd	0.020918	D	675	50	74
197	snd	0.021010	D	725	50	74
198	snd	0.021115	D	775	50	74
199	snd	0.021282	D	825	50	74
200	snd	0.021401	D	875	50	74
201	drp	0.021492	D	925	50	74
202	snd	0.021641	D	975	50	74
203	rcv	0.021771	A	74	0	476
204	snd	0.021883	D	525	50	74
205	snd	0.021963	D	525	50	74
206	snd	0.022044	D	575	50	74
207	snd	0.022122	D	625	50	74
208	drp	0.022181	D	675	50	74
209	snd	0.022247	D	725	50	74
